"mid.price"	"city.mpg"	"hw.mpg"	"airbagstd"	"cylnbr"	"engsize"	"horsepwr"	"rpm.at.max"	"engrev.high"	"mantrans.op"	"fueltank"	"passengers"	"length"	"width"	"uturn"	"rearroom"	"luggage"	"weight"	"domestic"
"29"	11.2999999999999	22	27	0	4	2.3	96	4200	2805	1	15.9	5	177	68	39	27.5	13	2690	1
"30"	15.9000000000001	22	29	1	4	2.3	105	4600	2285	1	15.4	4	180	68	40	24	12	2850	1
"31"	14	24	30	1	4	2	115	5500	2340	1	15.5	4	179	70	38	23	18	2710	1
"32"	20.2	21	30	1	6	3	140	4800	1885	0	16	5	192	71	40	27.5	18	3325	1
"33"	20.9000000000001	18	26	1	8	4.6	190	4200	1415	0	20	6	212	78	43	30	21	3950	1
"34"	8.40000000000002	46	50	0	3	1	55	5700	3755	1	10.6	4	151	63	34	27.5	10	1695	0
"35"	12.5000000000001	30	36	1	4	1.6	90	5400	3250	1	12.4	4	164	67	37	24.5	11	2475	0
"36"	19.8	24	31	2	4	2.3	160	5800	2855	1	15.9	4	175	70	39	23.5	8	2865	0
"37"	12.1000000000001	42	46	1	4	1.5	102	5900	2650	1	11.9	4	173	67	36	28	12	2350	0
"38"	17.5	24	31	2	4	2.2	140	5600	2610	1	17	4	185	67	41	28	14	3040	0
"39"	8.00000000000003	29	33	0	4	1.5	81	5500	2710	1	11.9	5	168	63	35	26	11	2345	0
"40"	10	22	29	0	4	1.8	124	6000	2745	1	13.7	5	172	66	36	28	12	2620	0
"41"	10	26	33.9999999999999	0	4	1.5	92	5550	2540	1	11.9	4	166	64	34	23.5	9	2285	0
"42"	13.9000000000001	20	27	0	4	2	128	6000	2335	1	17.2	5	184	69	41	31	14	2885	0
"43"	47.9	17	22	1	8	4.5	278	6000	1955	0	22.5	5	200	72	42	29	15	4000	0
"44"	27.9999999999999	18	24	1	6	3	185	5200	2325	1	18.5	5	188	70	40	27.5	14	3510	0
"45"	35.2	18	23	2	6	3	225	6000	2510	1	20.6	4	191	71	39	25	9	3515	0
"46"	34.2999999999999	17	26	2	6	3.8	160	4400	1835	0	18.4	6	205	73	42	30	19	3695	1
"47"	36.1000000000002	18	26	2	8	4.6	210	4600	1840	0	20	6	219	77	45	31.5	22	4055	1
"48"	8.29999999999998	29	37	0	4	1.6	82	5000	2370	1	13.2	4	164	66	34	27	16	2325	0
"49"	11.6	28	36	0	4	1.8	103	5500	2220	1	14.5	5	172	66	36	26.5	13	2440	0
"50"	16.4999999999999	26	33.9999999999999	1	4	2.5	164	5600	2505	1	15.5	5	184	69	40	29.5	14	2970	0
"51"	31.9	20	29	1	4	2.3	130	5100	2425	1	14.5	5	175	67	34	26	12	2920	0
"52"	61.9	19	25	2	6	3.2	217	5500	2220	0	18.5	5	187	69	37	27	15	3525	0
"53"	14.1	23	26	1	4	1.6	100	5750	2475	1	11.1	4	166	65	36	19	6	2450	1
"54"	14.9	19	26	0	6	3.8	140	3800	1730	0	18	5	199	73	38	28	15	3610	1
"55"	10.3	29	33	0	4	1.5	92	6000	2505	1	13.2	5	172	67	36	26	11	2295	0
"56"	26.1000000000001	18	24	1	6	3	202	6000	2210	0	19	5	190	70	43	27.5	14	3730	0
"57"	11.8	29	33	1	4	1.6	110	6000	2435	1	13.2	5	170	66	33	26	12	2545	0
"58"	15.7	24	30	1	4	2.4	150	5600	2130	1	15.9	5	181	67	40	28.5	14	3050	0
"59"	21.5000000000001	21	26	1	6	3	160	5200	2045	0	18.5	5	188	69	41	28.5	14	3200	0
"60"	13.5	24	31	0	4	2.3	155	6000	2380	0	15.2	5	188	67	39	28	14	2910	1
"61"	16.3000000000001	23	31	1	4	2.2	110	5200	2565	0	16.5	5	190	70	42	28	16	2890	1
"62"	20.6999999999999	19	28	1	6	3.8	170	4800	1570	0	18	6	201	74	42	31.5	17	3470	1
"63"	14.3999999999999	23	30	0	4	1.8	92	5000	2360	1	15.9	4	173	67	39	24.5	8	2640	1
"64"	9.00000000000001	31	41	0	4	1.6	74	5600	3130	1	13.2	4	177	66	35	25.5	17	2350	1
"65"	11.1	23	31	0	4	2	110	5200	2665	1	15.2	5	181	66	39	25	13	2575	1
"66"	17.6999999999999	19	28	2	6	3.4	160	4600	1805	1	15.5	4	196	75	43	25	13	3240	1
"67"	18.5	19	27	0	6	3.4	200	5000	1890	1	16.5	5	195	72	41	28.5	16	3450	1
"68"	24.4000000000001	19	28	2	6	3.8	170	4800	1565	0	18	6	177	74	43	30.5	18	3495	1
"69"	28.7000000000001	20	26	1	4	2.1	140	6000	2910	1	18	5	184	67	37	26.5	14	2775	0
"70"	11.1	28	38	1	4	1.9	85	5000	2145	1	12.8	5	176	68	40	26.5	12	2495	1
"71"	8.40000000000002	33	37	0	3	1.2	73	5600	2875	1	9.2	4	146	60	32	23.5	10	2045	0
"72"	10.9	25	30	0	4	1.8	90	5200	3375	1	15.9	5	175	65	35	27.5	15	2490	0
"73"	19.5	23	30	1	4	2.2	130	5600	2330	1	15.9	5	179	67	37	27	14	3085	0
"74"	8.59999999999998	39.0000000000001	43	0	3	1.3	70	6000	3360	1	10.6	4	161	63	34	27.5	10	1965	0
"75"	9.80000000000004	32	37	1	4	1.5	82	5200	3505	1	11.9	5	162	65	36	24	11	2055	0
"76"	18.4	25	32	1	4	2.2	135	5400	2405	1	15.9	4	174	69	39	23	13	2950	0
"77"	18.2	22	29	1	4	2.2	130	5400	2340	1	18.5	5	188	70	38	28.5	15	3030	0
"78"	9.09999999999996	25	33	0	4	1.8	81	5500	2550	1	12.4	4	163	63	34	26	10	2240	0
"79"	20	21	30	0	4	2	134	5800	2685	1	18.5	5	180	67	35	31.5	14	2985	0
"80"	23.2999999999999	18	25	0	6	2.8	178	5800	2385	1	18.5	4	159	66	36	26	15	2810	0
"81"	22.7000000000001	21	28	1	4	2.3	114	5400	2215	1	15.8	5	190	67	37	29.5	14	2985	0
"82"	26.6999999999999	20	28	2	5	2.4	168	6200	2310	1	19.3	5	184	69	38	30	15	3245	0
